,anime_name,genres,synopsis,hybrid_score,probability
0,Future GPX Cyber Formula Zero,"Drama, Sci-Fi, Shounen, Sports","freak accident during the 12th Cyber Formula World Grand Prix causes Hayato Kazami to miss the rest of the season, and critically injures both his body and his will to continue racing. Hayato's longtime friend, Asuka Sugo, helps nurse him back to health, and in return he proposes to her and promises her that he would never race again. But as time goes on, Hayato begins to doubt whether he really wants to retire, and decides to make a comeback after all. And with the 13th Cyber Formula World Grand Prix now underway, he must struggle to regain his racing form; regain the trust of Asuka, whose promise he broke; and thwart the malicious intents of Henri Clayton. All the while, the reason behind Hayato's accident begins to unveil itself: the ""Zero Zone."" (Source: ANN)",3.5808056503534313,0.8
1,Pianist,Hentai,No synopsis available.,3.4217551976442335,0.7644659960378472
2,Tales of Symphonia The Animation: Kratos-sensei no Private Lesson,"Comedy, School","special bonus animation included in the first volume of the Tales of Symphonia DVD. Lloyd and Collete talk about the special DVD editions, and Professor Kratos gives a summary of the ancient history of the world in Tales of Symphonia.",3.3800868228077885,0.7551567223368671
3,The Hakkenden,"Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen","""During the blood-soaked feudal wars of Japan, the Awa clan faced certain extinction from a rival clan backed by demonic forces. Their clan's salvation becomes a curse when the family dog brings back the head of the enemy warlord but insists upon marrying the lord's daughter! This unnatural union bears fruit, but they are killed; and their eight unborn pups reincarnate as the eight Dog Warriors - The Hakkenden. The eight reincarnated souls travel their separate paths of violence and retribution, but slowly they come together as a formidable group representing the eight virtues of the bushido to slay the demons and redeem their clan!"" (Source: DVD Complete Series Back Cover)",3.3457324802875514,0.7474815015346779
4,Pacusi no Uta,Comedy,Special episode of Pacusi .,2.9688466116786,0.6632801445419011
5,Gaiking: Legend of Daiku-Maryu,"Action, Mecha, Sci-Fi","oy, Tsuwabaki Daiya found a black fire in an ocean when he and his father were in a small boat. A big monster came out of the fire, and the father and the crews were disappeared into the sea. When he was about to become the next victim, a large mecka dragon appeared and saved him. 5 years later since then, Daiya becomes a junior high school student. A big monster reappear, and he meets the mecha dragon,""Daiku Maryu"". The head of the dragon separates from the body, and it turns into the body of a super robot, Gaiking. He gets in Gaiking, fights against the monster, and beats it. He learns that there is an enemy that plots to conquer the world, and he leaves for another world, Darius, to stop the plot. (Source: AnimeNfo)",2.8794779300689695,0.6433139826585696
6,Scan2Go,"Game, Cars, Space, Kids","Sometime in the near future, in an age in which we have established contact and communications with planets outside our galaxy, Scan2Go has become a huge phenomenon throughout all of outer space. Giant races are held at every locality, with each racer gunning for the title of the universe's number one racer! The main character in the series, Kazuya, possesses the power of the eagle, performed well with his blazing, innate power commanding his falconine beast spirit. He competes in a tournament, the ""Pro-Racer Exhibition Race."", but was no match for the other teams that had won their way through the competitive Space Preliminaries. Realizing the difficult obstacles that lie before them, Kazuya and his friends leave the small Earth behind and set off on a universe-wide quest to hone their skills as warriors!",2.8499224215745924,0.6367108857289254
7,Wankorobee,"Comedy, Fantasy, Kids",No synopsis information has been added to this title. Help improve our database by adding a synopsis here .,2.7080056726932527,0.6050047809606127
8,Maryuu Senki,"Fantasy, Horror","Once upon a time, there was a certain family having strong influence on the rule of the Imperial Court. They had their own might called ""Kidou"" and yet got hated because of the might itself. At last, the patriarch of the family was entrapped to his death, and all the family was doomed to ruin... The present day — the survived descendants of this family, now calling themselves ""Kidousyuu"" schemed to resurrect their murdered patriarch once again, and the ferocious evil spell went into action. (Source: BakaBT)",2.5857836246490478,0.5776987364603442
9,Cleavage,Hentai,No synopsis available.,2.564601086080074,0.5729662732914742
10,Memory,Mystery,"This is a short, privately produced animated film. While elucidating the mystery and fuzziness as well as merits and demerits of memory in idealizing reality, the story develops into a tale of destruction of human beings, turning the existence of the earth into a memory of the universe. The production, only 5 minutes long, greatly helps expand the viewer's imagination, embodying the enchantment of animation. (Source: AniDB)",2.466517303884029,0.5510530410698118
11,Shounen Maid Kuuro-kun: Tenshi no Uta,"Hentai, Yaoi",No synopsis available.,2.3308471009135245,0.520742498422603
12,Kyoushoku Soukou Guyver (1989),"Action, Horror, Sci-Fi, Super Power","Shou and his friend, Tetsurou, stumble upon a strange orb-like mechanism, the Guyver Unit, in the woods. It physically bonds with Shou and turns him into the alien soldier, Guyver. His mission is to protect the Guyver Unit from the Japanese corporation known as Chronos. They are after it and two other units just like it. To retrieve the object, they send out vicious monsters known as Zoanoids. So no one is safe in Shou's life; not even himself.",2.246938572824001,0.5019962080549608
13,Kataku,"Supernatural, Demons, Historical","any years ago, a young woman named Unai-Otome lived in the village of Ikuta. As she was beautiful it was no surprise that she had two suitors, both deeply in love with her. The girl was torn apart over which one to choose. In her desperation she chose a third option - taking her own life. Although her intentions were absolutely pure, not even in death did she find the solace she desired. Many decades later, a pilgrim walking by her grave meets a beautiful young woman and her story once again rises from the depths of time.... With a plot based on a classic play of Noh traditional theatre, the film presents the peak of Kawamoto’s mastery thanks to its expert mediation of the absurdity of the human condition. (Source: Karlovy Vary International Film Festival)",2.177834638953209,0.48655746256170107
14,Netorare Fighter Yaricchingu!,Hentai,No synopsis available.,2.1257264167070384,0.47491578695363734
